feature,rho,pval,abs_rho,subgroup
q_poly_feature_politeness_==1st_person==,-0.29985175567116007,0.0,0.29985175567116007,All treated
q_vader_pos,-0.14562909616314954,3.227342531766542e-124,0.14562909616314954,All treated
q_poly_feature_politeness_==Direct_question==,-0.1339945663320495,2.712926663813231e-105,0.1339945663320495,All treated
q_vader_compound,-0.11065614498143952,3.2822184948024743e-72,0.11065614498143952,All treated
q_tb_polarity,-0.09841122712404178,1.998316310616942e-57,0.09841122712404178,All treated
q_vader_neu,0.09512670000789628,9.289373457139787e-54,0.09512670000789628,All treated
q_vader_neg,0.07292731144052077,2.965296949406594e-32,0.07292731144052077,All treated
q_body_word_count,-0.07268864007957232,4.702821654061393e-32,0.07268864007957232,All treated
q_tb_subjectivity,-0.06438229163067807,1.7216556947721321e-25,0.06438229163067807,All treated
q_has_url,0.06400996431213407,3.2483356080755808e-25,0.06400996431213407,All treated
q_body_char_len,-0.049883197365909224,6.402122577518013e-16,0.049883197365909224,All treated
q_poly_feature_politeness_==INDICATIVE==,-0.04325104450703505,2.4544742787465403e-12,0.04325104450703505,All treated
q_poly_feature_politeness_==1st_person_start==,-0.04095474717055113,3.276066168356339e-11,0.04095474717055113,All treated
q_persp_severe_toxicity,0.03613752610632963,4.8340027100466384e-09,0.03613752610632963,All treated
q_persp_insult,0.031133809665536877,4.607691480411557e-07,0.031133809665536877,All treated
q_persp_threat,-0.029057273395360014,2.5320023462731964e-06,0.029057273395360014,All treated
q_persp_toxicity,0.02803236219176902,5.638909990853677e-06,0.02803236219176902,All treated
q_template_count,0.02591922163414633,2.7026111972517882e-05,0.02591922163414633,All treated
q_poly_feature_politeness_==2nd_person==,0.02540667436405617,3.8860376708802075e-05,0.02540667436405617,All treated
q_poly_feature_politeness_==1st_person_pl.==,0.025391185279890316,3.9285184068911684e-05,0.025391185279890316,All treated
q_poly_feature_politeness_==Please==,-0.022855678943748913,0.0002147927609915363,0.022855678943748913,All treated
q_link_count,0.022768997749657537,0.0002269922029025286,0.022768997749657537,All treated
q_poly_feature_politeness_==SUBJUNCTIVE==,-0.022340925790439833,0.00029737301366004177,0.022340925790439833,All treated
q_persp_sexually_explicit,-0.01961541148602286,0.001492411026275927,0.01961541148602286,All treated
q_poly_feature_politeness_==Deference==,0.01927922401479606,0.0017980456700293617,0.01927922401479606,All treated
q_poly_feature_politeness_==Apologizing==,0.018113752550163495,0.0033574404055823803,0.018113752550163495,All treated
q_poly_feature_politeness_==Direct_start==,0.017794339430282864,0.003961195285705036,0.017794339430282864,All treated
