conversation_id,turn_index,speaker_role,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,INCOHERENT,UNSUBSTANTIAL,SPAM,INFLAMMATORY,LIKELY_TO_REJECT,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,OBSCENE,AFFINITY_EXPERIMENTAL,COMPASSION_EXPERIMENTAL,CURIOSITY_EXPERIMENTAL,NUANCE_EXPERIMENTAL,PERSONAL_STORY_EXPERIMENTAL,REASONING_EXPERIMENTAL,RESPECT_EXPERIMENTAL,SEXUALLY_EXPLICIT,FLIRTATION
79,1,assigned_mentor,0.011120965,0.0010347366,0.0048837173,0.007721877,0.014634945,0.00814271,0.24633734,0.51111835,0.4065583,0.018342068,0.39705247,0.102844946,0.038419325,0.03849298,0.6625515,0.23239003,0.47290605,0.10361524,0.62282085,0.15545581,0.7567776,0.011913388,0.2736936
80,1,assigned_mentor,0.011749268,0.0011825562,0.0047357255,0.007854878,0.015625564,0.008764107,0.43297735,0.8307522,0.35827392,0.06177244,0.6437505,0.1718451,0.38216525,0.019641604,0.80645937,0.61948186,0.5524742,0.07980747,0.6494878,0.100625895,0.8727859,0.011795434,0.2597819
88,1,assigned_mentor,0.015958898,0.0014686584,0.005364689,0.008747884,0.016821137,0.009463178,0.38458526,0.8551393,0.12734397,0.09174124,0.78887165,0.30659464,0.5039354,0.033621967,0.5268742,0.25620726,0.5221292,0.07463925,0.45798835,0.059484657,0.7619688,0.013151909,0.38338056
89,1,assigned_mentor,0.03639866,0.0022602081,0.0061416444,0.013288911,0.020578653,0.010421164,0.43033218,0.8579436,0.11297572,0.11258262,0.75680614,0.38189197,0.59201556,0.041471153,0.29000965,0.08410463,0.46055984,0.057351746,0.20453176,0.043212764,0.59922135,0.016985426,0.36993515
90,1,assigned_mentor,0.01859777,0.0014591217,0.004994711,0.009241886,0.017572641,0.009074804,0.4821868,0.8551393,0.3214407,0.071449496,0.90546256,0.21763806,0.37231308,0.039634243,0.63283294,0.21834926,0.50928664,0.08243014,0.55903226,0.061485615,0.7660169,0.013505772,0.317298
92,1,assigned_mentor,0.015958898,0.001411438,0.005253696,0.008595883,0.017299367,0.009126588,0.47851568,0.8307522,0.40457368,0.04844112,0.78887165,0.1735781,0.24867398,0.047935955,0.61125165,0.295208,0.50670487,0.075921685,0.5646295,0.06554289,0.77763003,0.01332884,0.40806046
93,1,assigned_mentor,0.02638162,0.0014591217,0.00725158,0.00971689,0.01887069,0.0097738765,0.43849346,0.7843883,0.44756484,0.049448024,0.60135996,0.015668618,0.022969345,0.060540665,0.7285458,0.39066917,0.4391003,0.03053913,0.6576107,0.08360316,0.75045335,0.01480327,0.28345516
95,1,assigned_mentor,0.015958898,0.0014686584,0.005364689,0.008747884,0.016821137,0.009463178,0.38458526,0.8551393,0.12734397,0.09174124,0.78887165,0.30659464,0.5039354,0.033621967,0.51304954,0.2514011,0.51445884,0.07336315,0.4535681,0.06048275,0.7567771,0.013151909,0.38338056
97,1,assigned_mentor,0.02072494,0.0010871887,0.0040142676,0.0113509,0.015864678,0.007819066,0.3543827,0.72937065,0.44396582,0.08688431,0.6364489,0.44595838,0.6889393,0.01610301,0.2520815,0.17069714,0.9085119,0.19985642,0.35461545,0.0696735,0.54630893,0.009023507,0.2928656
100,1,assigned_mentor,0.015958898,0.001411438,0.005253696,0.008595883,0.017299367,0.009126588,0.47851568,0.8307522,0.40457368,0.04844112,0.78887165,0.1735781,0.24867398,0.047935955,0.61125165,0.295208,0.50670487,0.075921685,0.5646295,0.06554289,0.77763003,0.01332884,0.40806046
106,1,assigned_mentor,0.015958898,0.001411438,0.005253696,0.008595883,0.017299367,0.009126588,0.47851568,0.8307522,0.40457368,0.04844112,0.78887165,0.1735781,0.24867398,0.047935955,0.61125165,0.295208,0.50670487,0.075921685,0.5646295,0.06554289,0.77763003,0.01332884,0.40806046
