idx,sample_type,conversation_id,mentee,mentor,question,reply,reply_words,h_Q0,h_Q1,h_Q2,h_Q3,h_Q4,h_Q5,h_R0,h_R1,h_R2,h_R3,h_R5,Q0,Q1,Q2,Q3,Q4,Q5,R0,R1,R2,R3,R5,notes
1,random,10558,FnDun,Fritzmann2002,"Hi there! I made a new page on a TV show I like and submitted it, but now I can't find it. Were do drafts go?",the article you submitted can be found at [DRAFT]. Let me know if I can help with anything else!,19,1,无,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,
2,random,31141,Gauravdeep13,Randomdude121,"Hello, How Can I add a page about a politician who is currently active?","Hi there! You cannot add a page about someone unless they are considered ""notable"". For more information on that, please see [POLICY]. If it's determined that the politician is notable, [HELP_PAGE] would be a good resource to refer to!",39,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
3,enriched,357,Ekta Sandbhor,Schazjmd,"Hi, How to add image to the articles? How many articles we can write form the account?","Welcome, @. I've added some useful links to to help you get started. [HELP_PAGE] can help you learn how to add images. There is no limit on the number of articles an editor can create, but you should read [POLICY] first. Let me know if you have more questions.",49,1,无,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,
4,enriched,2172,EliKope,Mujinga,I am a member of the The Funk Center [LINK] and would like to create pages for musicians who are not currently found on wikipedia. Some of them are still alive. Any guidance on creating new pages is welcome.,"Hi @, that's a nice idea. Please be aware that wikipedia is an encyclodpedia and so entries must have significant coverage in reliable sources to establish their notability, even if they appear notable to you. I've dropped some links at. To create a page I'd advise using [POLICY]. Happy editing!",50,1,正面,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
5,random,8937,Kaif20zx,Bilorv,"Hello, can I create new page of Wikipedia","creating a Wikipedia article is very difficult because it requires experience in lots of different skills. The most important stage is the research stage, where you need to find sources and [POLICY]; when you have reliable sources, you need to assess whether they [POLICY]. If you decide your topic is definitely notable then you need to summarise the sources in your own words, making sure the reader can [POLICY]. Then, you need good writing skills and the ability to format using [POLICY] so the article is readable. It is particularly important that you read the [POLICY] guideline before attempting to write about yourself or somebody you know on Wikipedia. Newcomers should start with tasks that help them develop these skills one at a time, some of which are recommended on. The ideal is to start by adding reliable sources to existing articles that are in poor shape.",147,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
6,enriched,22195,Digitalajayk,DanCherek,"Hi Dan, Why cannot I add some of the links in the references as I think it will be beneficial for the users and community.",do you have any connection with the website theblogbustle.com?,9,1,无,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
7,enriched,23719,Mgrobertson,Mwwv,Hi. Any tips on putting links in the references section? I'm working on updating the Sabin Vaccine Institute page.,"@ Hello! If you're using VisualEditor, then you can press the button that says ""Cite"" and a textbox will come up for you to cite websites, books, and other media. Hope this helps! ∫",34,1,无,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,
8,enriched,19678,Hypekone,Vacant0,"Hello, I don't have many questions yet, and I'm in a very happy mood right now, I just wanted to say Have a great day, Bye for now!",Welcome!,1,1,无,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,
9,enriched,32636,Craiggilhooly1,Nyxion303,Hi - i'm wanting to update a company article but it's instantly been removed,"Hi, I can see the edits you are referring to. It seems like you used AI / an LLM to generate the text and therefore it was removed. If you'd like to contribute, please don't use AI to generate text.",40,1,无,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,
10,enriched,11376,Crux50,Shushugah,"Hi Yonatan, pleased to e-meet you. I'm Sebastian and I'd like to start making some small edits here and there, at least when I find inaccuracies. I created my account today and then I went to try to make the edits and found out that my IP is blocked in the Spanish site. I'd like to update: - [LINK] - [LINK] Note: I'm argentinian and also speak spanish;) I'm following the instructions on how to get my IP unblocked, so I've created this discussion: [LINK] Do you think you could get that checked or ask someone? Thanks in advance and let me know if you want me to do anything from my side. PS: I hope I got your name right:) and I'm reaching out to you as I have a message saying you're my mentor here, but happy to be redirected.","@ Welcome to English Wikipedia! When editing in Spanish Wikipedia, can you confirm you are logged in your account? From your report, it looks like you created it, while logged out. Shared/large WiFi networks (university, libraties) are frequently banned for logged-out users, but permissible for logged-in users. Using a VPN is nearly always forbidden, even for logged-in users. Normally issues affecting Spanish and English Wikipedia are separate, with separate blocks potentially applied, but I am not quite sure for IP address range blocks.",83,1,正面,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,
