Stratum,N,Treated,Control,T_pct,PS_lo,PS_hi
0,3539,1935,1604,54.67646227747951,0.000842475505010357,0.5997592171550421
1,3538,2273,1265,64.24533634821933,0.5997599498749819,0.6715091976333611
2,3538,2477,1061,70.01130582249858,0.6715165984628247,0.7172501161349106
3,3538,2638,900,74.56189937817976,0.7172532787498257,0.7455757942155951
4,3538,2721,817,76.90785754663652,0.7455817569987305,0.7667674667483172
5,3538,2743,795,77.52967778405879,0.766769564759566,0.7846374275651895
6,3538,2837,701,80.18654607122669,0.7846480505610556,0.8016487810776671
7,3538,2809,729,79.39513849632561,0.8016597321683713,0.8192150636367995
8,3538,2885,653,81.5432447710571,0.8192276663837963,0.841223172463342
9,3538,2960,578,83.66308648954211,0.8412378073182354,0.9999747682768215
