var,raw,strat,label
n_edits,0.014930117792707281,0.029863532831622797,Prior edits (total)
n_edits_7d,0.0282388209967688,0.006113998278602647,Prior edits (7d)
n_edits_1d,0.03849717028100695,0.007318205086305724,Prior edits (1d)
ns0_mainspace,0.008616415627899056,0.020039158294413082,Mainspace edits
ns2_userpage,0.0116060473019739,0.023140178957959424,User-page edits
ns3_usertalk,0.018226675021079018,0.029334794708927647,User-talk edits
ns4_wp,0.016746384901722755,0.03142995984896757,Wikipedia-ns edits
ns118_draft,0.007363820518821499,0.018026768514691868,Draft-ns edits
n_unique_ns,0.046538323294500826,0.0019966446031486765,Unique namespaces
mainspace_ratio,0.06347158436037582,0.006704662997822381,Mainspace ratio
draft_ratio,0.009622519617400653,2.320129515946275e-05,Draft ratio
avg_sizediff,0.025337385610202837,0.004402186938246516,Avg byte change
std_sizediff,0.0017799597419170066,0.004046293805267894,Std byte change
max_sizediff,0.009463610557985759,0.004115220584132137,Max byte change
neg_sizediff_ratio,0.0364057291085597,0.003544267141829353,Neg-change ratio
hours_since_last_edit,0.00040973411424794685,0.00508786878365685,Hours since last edit
active_span_hours,0.0005475299752913908,0.0030342473574738373,Active span (h)
account_age_hours,0.0070474874424510696,0.01695255070963221,Account age (h)
n_reverts,0.017537142585717775,0.02616357707743323,Prior reverts
n_ai_reverts,0.0,0.0,AI reverts
revert_rate_pre,0.02449853784883406,0.010095663680252467,Pre-Q revert rate
tag_visualeditor,0.0017552365196617666,0.013370564783617523,VisualEditor
tag_mobile,0.006159089269927233,0.006347056466583335,Mobile edit
tag_newcomer_task,0.013355277382795887,0.0015568805678434108,Newcomer Task
tag_editcheck_newref,0.005297185052557848,0.005210959301600482,EditCheck ref
tag_mw_reverted,0.017537142585717775,0.02616357707743323,Reverted (tag)
tag_discussion,0.02076957913314888,0.03290855807586467,Discussion comment
log_create,0.04642789674047594,0.006835197365528173,Page creations
log_thanks,0.012091697229239494,0.022754267137406352,Thanks received
n_abuse,0.0019499824744113252,0.004013079784508712,Abuse filter hits
n_abuse_warn,0.0016656269809955041,0.008097097211394112,Abuse warnings
q_weekday,0.012191128991651414,0.00023581418388377072,Q weekday
q_hour_utc,0.005866914062445198,0.006269022649801273,Q hour (UTC)
q_is_weekend,0.014157097840677292,0.0005440917637678598,Q on weekend
q_has_sig,0.03883383600652687,0.00745886873667381,Q has signature
q_has_unsigned,0.00872423001571641,0.010085738527776306,Q unsigned
q_link_count,0.006056301044286075,2.420803475544427e-05,Q links
q_template_count,6.639765234526715e-05,0.0005963263398025236,q_template_count
q_has_url,0.008717208967400535,0.0033377584479443397,Q has URL
q_mentions_wp,0.0142298977041962,0.0029433449118200197,Q mentions WP
q_mentions_help,0.012958532316128368,0.0054630485825479325,Q mentions help
q_is_indented,0.025630626539751376,0.002556996380377263,Q indented
q_body_char_len,0.04977691915506317,0.00033633718946481783,Q length (chars)
q_body_word_count,0.061945612600410975,0.0026629267123840935,Q length (words)
q_vader_neg,0.01276853664313173,0.005757168322479558,Sentiment (neg)
q_vader_neu,0.03781566542822798,0.007109210906360197,Sentiment (neu)
q_vader_pos,0.028516264110737356,0.003165643307262602,Sentiment (pos)
q_vader_compound,0.045535330559725494,0.007043457847132906,Sentiment (compound)
q_tb_polarity,0.01943654717121447,0.007243954740647994,Polarity (TextBlob)
q_tb_subjectivity,0.08831034438925231,0.007984102532297775,Subjectivity
q_poly_feature_politeness_==Please==,0.006006450953415834,0.007016247447181252,Polite: Please
q_poly_feature_politeness_==Please_start==,0.0026454800630937793,0.0012431392168378494,Polite: Please_start
q_poly_feature_politeness_==HASHEDGE==,0.014538449079660776,0.0030584831264125565,Polite: HASHEDGE
q_poly_feature_politeness_==Indirect_(btw)==,0.019316050980043832,0.002794195556750532,Polite: Indirect_(btw)
q_poly_feature_politeness_==Hedges==,0.027718580333368555,0.0008694758423143064,Polite: Hedges
q_poly_feature_politeness_==Factuality==,0.036137751290899495,0.0002888779285789721,Polite: Factuality
q_poly_feature_politeness_==Deference==,0.013374356124785224,0.004552040355638986,Polite: Deference
q_poly_feature_politeness_==Gratitude==,0.05449795229317253,0.013144808451975677,Polite: Gratitude
q_poly_feature_politeness_==Apologizing==,0.011007237357641728,0.0001839735184927491,Polite: Apologizing
q_poly_feature_politeness_==1st_person_pl.==,0.011914690035759965,0.004690307888083504,Polite: 1st_person_pl.
q_poly_feature_politeness_==1st_person==,0.23089970316203412,0.020066300459086774,Polite: 1st_person
q_poly_feature_politeness_==1st_person_start==,0.018209540906834933,0.0014980005353339458,Polite: 1st_person_start
q_poly_feature_politeness_==2nd_person==,0.04462184204775566,0.0048686355941787605,Polite: 2nd_person
q_poly_feature_politeness_==2nd_person_start==,0.011071703960044676,0.0029041512553229757,Polite: 2nd_person_start
q_poly_feature_politeness_==Indirect_(greeting)==,0.11019330697163507,0.009227471428824432,Polite: Indirect_(greeting)
