Outcome,Strata,ATT,CI_lo,CI_hi,Sig
1+_mainspace_edit_14d,5,0.01735514307000464,0.006991312051953917,0.027995417740108962,*
1+_mainspace_edit_14d,10,0.016505247812403104,0.0071071922775236,0.026204616267476107,*
1+_mainspace_edit_14d,20,0.015867965046055477,0.004576039999178054,0.02544760446737349,*
n_mainspace_edits_14d,5,0.534684659458276,-0.3277081762283394,1.511739483399931,
n_mainspace_edits_14d,10,0.5321668135478673,-0.34039017408724853,1.354241854995076,
n_mainspace_edits_14d,20,0.5166441227441119,-0.4034227834493773,1.354347775392719,
active_days_30d,5,0.09387275717497014,-0.0005527740257694209,0.18806113198429475,
active_days_30d,10,0.08487314144280274,-0.013993941875095893,0.18446308735296787,
active_days_30d,20,0.07947853025339073,-0.011187179821793953,0.18726612350246583,
unique_namespace_14d,5,0.027133430307238637,0.00926505721404216,0.049913306487803566,*
unique_namespace_14d,10,0.02493300938533347,0.005581147807493908,0.04588671282798067,*
unique_namespace_14d,20,0.023774477395127572,0.0027052787666295383,0.04464643260326618,*
reverted_any_14d,5,0.005724916754922415,-0.0025542398424989367,0.012928969028238058,
reverted_any_14d,10,0.005355861309093116,-0.0020636980113339387,0.013569889114099358,
reverted_any_14d,20,0.004901446907059657,-0.00301437840592667,0.012016833157861262,
2+_active_days_14d,5,0.01531032627521222,0.007284289474747198,0.02299144126010842,*
2+_active_days_14d,10,0.014633918814010832,0.006186945216438309,0.02269505116177089,*
2+_active_days_14d,20,0.014334716143161027,0.00620018761841416,0.022844598200068636,*
