Spec,ATT,CI_lo,CI_hi,Sig
Main (K=10),0.016505247812403104,0.0055290197243339995,0.02748124689871054,*
D=48h,0.052807500039580284,0.044197132085454775,0.06181249596327377,*
"Trim [0.01,0.99]",0.017141837779765325,0.0072665269470663305,0.028170354635585607,*
"Trim [0.05,0.95]",0.01734490480157556,0.008082762577169264,0.027675120130956386,*
"Trim [0.1,0.9]",0.017899027803886008,0.007424321940105923,0.028142544367271153,*
"Trim [0.15,0.85]",0.016854322667452508,0.006914483772310338,0.028529717186206924,*
K=5,0.01735514307000464,0.006991312051953917,0.027995417740108962,*
K=10,0.016505247812403104,0.0071071922775236,0.026204616267476107,*
K=20,0.015867965046055477,0.004576039999178054,0.02544760446737349,*
Pseudo: Median lag,0.018421219499091167,0.007541853789828025,0.02971994791518338,*
Pseudo: 25th pctl lag,-0.007891305842221679,-0.018951054755993672,0.003946762192270847,
Pseudo: 75th pctl lag,0.0366616430132966,0.027146589830789266,0.04641758748580878,*
Pseudo: Zero lag (immediate),-0.0776270874045053,-0.08992470283428064,-0.06693046587514999,*
Pseudo: Multi-draw avg,0.01734911152066573,0.008091703500356949,0.026966008670174128,*
