Subgroup,Feature,Raw_SMD,Adj_SMD
Full sample,emb0,-0.2887,-0.051
Full sample,q_poly_feature_politeness_==Direct_question==,0.2195,0.0418
Full sample,q_poly_feature_politeness_==1st_person==,0.2309,0.0384
Full sample,tag_discussion,-0.0208,-0.0308
Full sample,ns4_wp,-0.0167,-0.0289
Full sample,n_edits,-0.0149,-0.0276
Full sample,ns3_usertalk,-0.0182,-0.0274
Full sample,n_reverts,-0.0175,-0.0251
Full sample,tag_mw_reverted,-0.0175,-0.0251
Full sample,emb1,0.102,0.0236
Technical,t4,0.0601,0.0522
Technical,q_poly_feature_politeness_==Direct_question==,0.0864,0.0439
Technical,t58,-0.0927,-0.0434
Technical,t54,0.0699,0.0397
Technical,t57,-0.093,-0.0395
Technical,q_persp_insult,0.0556,0.0368
Technical,t37,-0.0831,-0.035
Technical,t53,0.0572,0.0303
Technical,emb0,-0.06,-0.0303
Technical,emb12,0.0627,0.0298
Referent (Q2),t57,-0.1874,-0.1134
Referent (Q2),t58,-0.1571,-0.1048
Referent (Q2),emb0,-0.1821,-0.1045
Referent (Q2),t3,0.0787,0.0734
Referent (Q2),t8,0.0712,0.0663
Referent (Q2),q_poly_feature_politeness_==Direct_question==,0.1177,0.0659
Referent (Q2),q_poly_feature_politeness_==SUBJUNCTIVE==,-0.0885,-0.0639
Referent (Q2),emb8,0.0967,0.0633
Referent (Q2),log_create,0.086,0.0631
Referent (Q2),t41,0.0885,0.0605
Appraisal (Q3),t58,-0.1758,-0.1586
Appraisal (Q3),t57,-0.1681,-0.1386
Appraisal (Q3),t29,0.1338,0.1302
Appraisal (Q3),t46,0.1478,0.1272
Appraisal (Q3),q_poly_feature_politeness_==INDICATIVE==,-0.1393,-0.1198
Appraisal (Q3),q_poly_feature_politeness_==HASNEGATIVE==,-0.1158,-0.1105
Appraisal (Q3),emb19,-0.1259,-0.1058
Appraisal (Q3),t17,0.1037,0.1031
Appraisal (Q3),emb9,-0.1163,-0.1012
Appraisal (Q3),ns2_userpage,0.0963,0.0948
Normative (Q4),t57,-0.156,-0.0896
Normative (Q4),t55,0.1171,0.0819
Normative (Q4),log_create,0.0948,0.07
Normative (Q4),t58,-0.1109,-0.0622
Normative (Q4),q_hour_utc,0.0914,0.0615
Normative (Q4),q_poly_feature_politeness_==Direct_question==,0.0905,0.0602
Normative (Q4),q_persp_severe_toxicity,0.0563,0.0548
Normative (Q4),t11,0.0646,0.0543
Normative (Q4),t59,-0.085,-0.052
Normative (Q4),q_poly_feature_politeness_==Please==,-0.0643,-0.0517
Non-substantive,emb0,-0.2196,-0.089
Non-substantive,q_poly_feature_politeness_==Direct_question==,0.1912,0.0857
Non-substantive,q_poly_feature_politeness_==1st_person==,0.1883,0.0753
Non-substantive,emb9,-0.1861,-0.0704
Non-substantive,q_poly_feature_politeness_==Indirect_(greeting)==,0.1218,0.0577
Non-substantive,tag_editcheck_newref,-0.0465,-0.0472
Non-substantive,emb6,-0.1224,-0.0455
Non-substantive,q_poly_feature_politeness_==SUBJUNCTIVE==,0.0929,0.0453
Non-substantive,t9,0.0766,0.0447
Non-substantive,emb15,0.096,0.0417
Own work (Q5=Y),t58,-0.1132,-0.0678
Own work (Q5=Y),q_poly_feature_politeness_==Direct_question==,0.0961,0.0609
Own work (Q5=Y),t55,0.0834,0.0586
Own work (Q5=Y),t57,-0.106,-0.0527
Own work (Q5=Y),log_create,0.0704,0.0516
Own work (Q5=Y),t35,0.0688,0.0508
Own work (Q5=Y),q_has_sig,0.0715,0.05
Own work (Q5=Y),emb5,0.0698,0.0495
Own work (Q5=Y),t37,-0.0875,-0.0494
Own work (Q5=Y),t53,0.0691,0.0464
No own work (Q5=N),emb0,-0.3352,-0.0531
No own work (Q5=N),q_poly_feature_politeness_==Direct_question==,0.2446,0.0465
No own work (Q5=N),q_poly_feature_politeness_==1st_person==,0.2522,0.0382
No own work (Q5=N),t54,0.077,0.0288
No own work (Q5=N),t57,-0.117,-0.0223
No own work (Q5=N),t58,-0.091,-0.0222
No own work (Q5=N),tag_visualeditor,-0.0082,-0.0216
No own work (Q5=N),t59,-0.1436,-0.0216
No own work (Q5=N),t8,0.0429,0.0208
No own work (Q5=N),t53,0.0626,0.0202
