Subgroup,DV,Trim,N,ATT,CI_lo,CI_hi,Sig
Full sample,primary,"[0.05,0.95]",35359,0.0203,0.0104,0.0295,*
Full sample,primary,"[0.1,0.9]",35223,0.0211,0.0098,0.0305,*
Full sample,primary,"[0.15,0.85]",32916,0.0182,0.0089,0.0277,*
Full sample,n_edits_14d,"[0.05,0.95]",35359,0.6269,-0.0701,1.4447,
Full sample,n_edits_14d,"[0.1,0.9]",35223,0.6056,-0.2148,1.2164,
Full sample,n_edits_14d,"[0.15,0.85]",32916,0.3357,-0.3623,1.0838,
Full sample,active_days_30d,"[0.05,0.95]",35359,0.1226,0.0505,0.2123,*
Full sample,active_days_30d,"[0.1,0.9]",35223,0.1287,0.0473,0.2087,*
Full sample,active_days_30d,"[0.15,0.85]",32916,0.1192,0.0416,0.2042,*
Full sample,unique_ns_14d,"[0.05,0.95]",35359,0.0312,0.0117,0.0507,*
Full sample,unique_ns_14d,"[0.1,0.9]",35223,0.0335,0.0131,0.0514,*
Full sample,unique_ns_14d,"[0.15,0.85]",32916,0.0282,0.0113,0.0466,*
Full sample,reverted_any_14d,"[0.05,0.95]",35359,0.0074,-0.0005,0.0151,
Full sample,reverted_any_14d,"[0.1,0.9]",35223,0.0074,0.0001,0.0152,*
Full sample,reverted_any_14d,"[0.15,0.85]",32916,0.0047,-0.0032,0.0129,
Full sample,2+_active_days_14d,"[0.05,0.95]",35359,0.0171,0.01,0.0254,*
Full sample,2+_active_days_14d,"[0.1,0.9]",35223,0.0173,0.0086,0.0252,*
Full sample,2+_active_days_14d,"[0.15,0.85]",32916,0.0149,0.0078,0.0222,*
Technical,primary,"[0.05,0.95]",16370,0.0236,0.0098,0.0401,*
Technical,primary,"[0.1,0.9]",16143,0.0229,0.0079,0.0392,*
Technical,primary,"[0.15,0.85]",14581,0.0181,0.0048,0.0354,*
Technical,n_edits_14d,"[0.05,0.95]",16370,0.3155,-0.7459,1.2728,
Technical,n_edits_14d,"[0.1,0.9]",16143,0.1292,-0.8899,1.0232,
Technical,n_edits_14d,"[0.15,0.85]",14581,0.5031,-0.3387,1.2264,
Technical,active_days_30d,"[0.05,0.95]",16370,0.1464,0.0254,0.2668,*
Technical,active_days_30d,"[0.1,0.9]",16143,0.126,-0.0048,0.242,
Technical,active_days_30d,"[0.15,0.85]",14581,0.0903,-0.0321,0.2048,
Technical,unique_ns_14d,"[0.05,0.95]",16370,0.0385,0.0134,0.0636,*
Technical,unique_ns_14d,"[0.1,0.9]",16143,0.0356,0.0057,0.0588,*
Technical,unique_ns_14d,"[0.15,0.85]",14581,0.0253,0.0004,0.052,*
Technical,reverted_any_14d,"[0.05,0.95]",16370,0.0085,-0.001,0.0198,
Technical,reverted_any_14d,"[0.1,0.9]",16143,0.0076,-0.0026,0.0201,
Technical,reverted_any_14d,"[0.15,0.85]",14581,0.0024,-0.0088,0.0137,
