DV,DV_key,Feature,Feature_col,Beta_std,SE,z,p,Sig,ICC,Subgroup
1+ mainspace edit (14d),primary,Reply word count,r_words,-0.0054,0.0036,-1.5,0.1341,,0.0,Full treated
1+ mainspace edit (14d),primary,"""You"" rate (per word)",r_pronoun_you_rate,-0.0045,0.0023,-1.92,0.0549,,0.0,Full treated
1+ mainspace edit (14d),primary,"""I"" rate (per word)",r_pronoun_i_rate,0.0028,0.0023,1.2,0.231,,0.0,Full treated
1+ mainspace edit (14d),primary,"""We"" rate (per word)",r_pronoun_we_rate,-0.0061,0.0022,-2.73,0.0063,**,0.0,Full treated
1+ mainspace edit (14d),primary,VADER compound sentiment,r_vader_compound,0.0058,0.0027,2.12,0.0344,*,0.0,Full treated
1+ mainspace edit (14d),primary,TextBlob subjectivity,r_tb_subjectivity,0.0012,0.0024,0.49,0.6238,,0.0,Full treated
1+ mainspace edit (14d),primary,Flesch-Kincaid grade,r_flesch_kincaid,0.0012,0.0026,0.46,0.6446,,0.0,Full treated
1+ mainspace edit (14d),primary,Imperative sentences,r_n_imperatives,0.0028,0.0024,1.19,0.2352,,0.0,Full treated
1+ mainspace edit (14d),primary,Resource links (total),r_n_resources,0.0026,0.0141,0.18,0.8543,,0.0,Full treated
1+ mainspace edit (14d),primary,Wikilinks,r_n_wikilink,-0.002,0.0057,-0.35,0.7289,,0.0,Full treated
1+ mainspace edit (14d),primary,Policy references,r_n_policy,-0.006,0.0121,-0.5,0.6195,,0.0,Full treated
1+ mainspace edit (14d),primary,Help page references,r_n_help,-0.0023,0.0038,-0.59,0.5525,,0.0,Full treated
1+ mainspace edit (14d),primary,Reply lag (hours),r_reply_lag_hours,-0.0346,0.0023,-15.3,0.0,***,0.0,Full treated
1+ mainspace edit (14d),primary,Reply/question word ratio,r_reply_q_word_ratio,0.001,0.003,0.35,0.7237,,0.0,Full treated
1+ mainspace edit (14d),primary,Has greeting,r_has_greeting,0.0002,0.0023,0.09,0.9275,,0.0,Full treated
1+ mainspace edit (14d),primary,Gratitude expression,r_polite_gratitude,0.0001,0.0023,0.04,0.9713,,0.0,Full treated
1+ mainspace edit (14d),primary,Positive language,r_polite_has_positive,0.0074,0.0034,2.18,0.0293,*,0.0,Full treated
1+ mainspace edit (14d),primary,Deference,r_polite_deference,-0.0019,0.0032,-0.6,0.5487,,0.0,Full treated
1+ mainspace edit (14d),primary,Has list,r_has_list,0.0005,0.0023,0.21,0.8337,,0.0,Full treated
1+ mainspace edit (14d),primary,Question marks in reply,r_n_question_marks,0.0062,0.0023,2.64,0.0084,**,0.0,Full treated
1+ mainspace edit (14d),primary,Q-R semantic similarity,r_qr_cosine_sim,0.0165,0.0027,6.03,0.0,***,0.0,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,Reply word count,r_words,-0.1828,0.3576,-0.51,0.6092,,0.0001,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,"""You"" rate (per word)",r_pronoun_you_rate,-0.1426,0.2315,-0.62,0.538,,0.0001,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,"""I"" rate (per word)",r_pronoun_i_rate,0.2279,0.2308,0.99,0.3235,,0.0001,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,"""We"" rate (per word)",r_pronoun_we_rate,0.0471,0.2223,0.21,0.8322,,0.0001,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,VADER compound sentiment,r_vader_compound,-0.1144,0.2717,-0.42,0.6739,,0.0001,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,TextBlob subjectivity,r_tb_subjectivity,0.4085,0.2357,1.73,0.083,,0.0001,Full treated
N mainspace edits (14d),n_mainspace_edits_14d,Flesch-Kincaid grade,r_flesch_kincaid,-0.0373,0.2601,-0.14,0.8859,,0.0001,Full treated
