cluster,label,n,retention_rate,R2,beta_r_words,beta_r_sentences,beta_r_type_token_ratio,beta_r_n_question_marks,beta_r_has_greeting,beta_r_has_thanks,beta_r_n_policy,beta_r_n_wikilink,beta_r_n_link,beta_r_n_resources,beta_r_pronoun_you_rate,beta_r_pronoun_i_rate,beta_r_pronoun_we_rate,beta_r_vader_compound,beta_r_tb_polarity,beta_r_flesch_kincaid,beta_r_has_steps,beta_r_reply_lag_hours,beta_r_reply_q_word_ratio
-1,noise,4361,0.2483,0.0131,0.00796,-0.02282,-0.02257,-0.00016,0.00795,-0.0088,-0.02519,0.0027,0.001,0.00364,-0.0004,0.00262,-0.00114,0.01567,-0.00504,0.00563,-0.00187,-0.02834,-0.00355
0,cluster_0,252,0.2897,0.0666,0.02885,-0.01755,-0.03515,0.04667,0.00568,-0.05906,-0.10591,-0.058,-0.01151,0.10388,-0.01944,-0.00202,-0.02711,0.05958,-0.04759,-0.00122,-0.09629,-0.00813,-0.00948
1,cluster_1,622,0.1945,0.0258,-0.02597,0.00723,-0.01428,0.01525,-0.00734,-0.02581,0.03737,0.04725,0.0189,-0.05234,-0.00214,-0.00115,-0.00724,0.01041,0.01646,-0.01725,-0.00522,-0.03806,0.00869
2,cluster_2,280,0.25,0.1037,-0.17147,0.08891,-0.0667,0.02548,0.00687,0.04015,-0.24408,-0.07589,-0.04627,0.24018,-0.07693,-0.01893,0.05404,-0.00088,-0.03165,0.00034,-0.0299,-0.01921,0.05019
3,cluster_3,257,0.1751,0.094,-0.05888,0.11233,-0.03108,-0.05264,-0.00378,-0.01043,0.092,0.06267,0.01232,-0.13039,0.01491,0.02449,0.00014,-0.01018,0.05129,-0.00535,0.02798,-0.03626,-0.01492
4,cluster_4,315,0.0825,0.0539,0.03524,-0.04153,-0.05037,-0.00868,-0.01589,0.0072,-0.00046,0.02638,0.01646,-0.05102,-0.00726,-0.00263,-0.01053,-0.00809,0.02315,-0.01286,-0.07822,-0.02208,-0.01752
5,cluster_5,270,0.3074,0.0678,-0.04412,-0.0634,-0.09488,-0.0381,0.02095,0.00332,-0.10877,-0.04104,-0.00793,0.09682,-0.01229,0.02509,0.05112,-0.01085,-0.03558,0.00857,0.21565,-0.04583,-0.0138
6,cluster_6,287,0.0627,0.0874,-0.10548,0.1045,-0.02437,0.00364,0.01375,0.01172,-0.03088,0.00096,0.0048,0.00587,-0.00239,0.01335,-0.00864,-0.03902,-0.0052,0.0041,0.04108,-0.0016,0.03307
7,cluster_7,572,0.1171,0.0337,-0.00595,0.06881,0.00642,-0.025,-0.00803,-0.01615,-0.04108,-0.01558,0.01089,0.01637,-0.01577,-0.00029,0.01478,-0.00119,-0.01267,0.0075,-0.01388,-0.0078,-0.02171
8,cluster_8,249,0.0964,0.0521,0.00785,-0.02732,0.00107,0.0344,-0.00354,-0.01473,-0.13163,-0.07041,-0.08091,0.15208,-0.01586,0.00139,0.00947,0.01667,-0.01134,0.01143,0.01915,-0.0098,-0.03056
9,cluster_9,449,0.0869,0.053,-0.02166,0.04538,0.00558,-0.03389,-0.0126,0.01259,0.01067,0.00908,0.00978,-0.01396,-0.00877,0.03765,0.0045,0.00263,-0.01149,-0.00175,-0.00775,-0.01028,-0.02031
10,cluster_10,400,0.105,0.0627,-0.01762,-0.01074,-0.02969,0.0201,0.00059,0.00291,-0.01238,0.03152,-0.01344,0.01435,-0.01541,-0.01302,-0.02207,-0.0095,0.03315,-0.01665,-0.16685,-0.0809,-0.02154
11,cluster_11,413,0.0896,0.0546,-0.00689,0.03855,-0.03933,-0.01105,0.02237,0.00343,-0.03204,-0.01482,-0.00218,0.03872,-0.00427,0.01238,-0.02388,-0.01876,0.00517,-0.01252,0.00479,-0.04401,-0.06487
12,cluster_12,206,0.1796,0.136,0.01405,0.00522,-0.01678,-0.0293,-0.04029,-0.00866,-0.04955,-0.00702,0.06069,0.03326,0.03432,0.04139,-0.01722,0.00706,-0.01633,-0.03911,0.30605,-0.00583,0.01613
13,cluster_13,459,0.1656,0.0558,0.03233,-0.0619,-0.00774,0.02153,0.02734,0.00771,0.00937,-0.02121,-0.0073,-0.00114,-0.03262,-0.04054,-0.01016,0.0075,-0.00665,-0.03134,0.09627,-0.05074,-0.04823
