,noise,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
noise,0.9999999996689278,0.5294751672286515,0.031064820499722676,0.21550922364836544,-0.3272339628801956,0.3619520555340054,0.43854068067609786,-0.2719138483404792,-0.040495508804948684,0.38965491604228203,-0.2792271571298985,0.31255107433024054,0.3313551337407176,0.06414300007601771,0.34712657942272757,0.2867469962666739,0.31804471270476625,0.12055577113902304,0.029213433163412413,0.25691648014774665,0.29688161611644154,0.6290014308860545
cluster_0,0.5294751672286515,0.9999999999799758,-0.4160526972213448,0.5698818073594931,-0.7062637979270655,0.08048717556076493,0.0723922990116031,-0.1793999245423274,0.3216218621173546,0.7150987730770059,-0.30143541734695667,0.4082285856242845,0.30674118659996485,-0.2758291382496124,-0.09671403145699878,0.47096722179160955,-0.14696175638112444,0.6239572376487142,-0.4256197821386192,0.3364571051006467,-0.28329659408983743,0.23361645574519643
cluster_1,0.031064820499722676,-0.4160526972213448,0.999999999908219,-0.45256619543335097,0.7167928913976065,0.3803822769974925,-0.33591888016875865,0.10159590585165784,-0.24685706187881035,-0.7039738107849304,0.21827124557281816,0.2741951742937116,-0.16306589139662397,-0.10269684461171363,-0.01637721806839889,-0.05612165105123653,0.26710939949462614,-0.4883219810829478,0.854569942213257,0.23485423761717822,0.2794420716441938,0.08043101651716643
cluster_2,0.21550922364836544,0.5698818073594931,-0.45256619543335097,0.9999999999945417,-0.4252101630864406,-0.3575048699057555,0.4505523139437159,0.5310345892751944,0.5253357364281854,0.7304789312507965,-0.005435731063198129,0.1629826134794831,0.4295877088135599,0.024897142372296184,-0.170422970665418,0.6898719873128147,-0.5285763368712875,0.9039513833964654,-0.41452353296456784,-0.04509904089621345,-0.5232791391715415,0.10829704406950579
cluster_3,-0.3272339628801956,-0.7062637979270655,0.7167928913976065,-0.4252101630864406,0.9999999999819478,0.12181453170687387,-0.2557737468660793,0.40112904903847635,0.08458725820280126,-0.7550203909405031,0.6225283092036487,-0.034142883889461406,0.03331224439455417,0.036422129432362935,-0.18375166258714903,-0.09791799047770798,0.1413192497133377,-0.4311528818746325,0.6525931671000874,0.06332113182663755,0.04139153275334376,0.05450339883924625
cluster_4,0.3619520555340054,0.08048717556076493,0.3803822769974925,-0.3575048699057555,0.12181453170687387,0.9999999999422085,-0.4276744526880873,-0.48177601547786714,-0.23355484356988862,-0.35697572005376066,-0.036520464089275825,0.6686734272192025,-0.004462016236061289,-0.5311978812988751,-0.09728607557676733,-0.20529366961281795,0.6586045639463205,-0.1922223263714191,0.39319250916671844,0.6010179489849916,0.1336043655413779,0.09762821929983265
cluster_5,0.43854068067609786,0.0723922990116031,-0.33591888016875865,0.4505523139437159,-0.2557737468660793,-0.4276744526880873,0.999999999989301,0.2595702496331431,0.05915407596099754,0.5294172530761208,-0.14400492413604465,-0.4777531144960595,0.37028946066321305,0.7443353736810309,0.5250837526813544,0.3034523047399597,-0.01779857469161293,0.1807366907961132,-0.23329131226907476,-0.5729272316436534,0.16272591210914195,0.3738595037181471
cluster_6,-0.2719138483404792,-0.1793999245423274,0.10159590585165784,0.5310345892751944,0.40112904903847635,-0.48177601547786714,0.2595702496331431,0.9999999999650357,0.45202577195447513,-0.002038008566771622,0.42091806632720996,-0.15420975078630295,0.3194058148872922,0.252196483164607,-0.2931837813450897,0.5061781196075428,-0.5613650521764606,0.3729887619555276,0.16834407815657548,-0.25386907373439127,-0.428534298826376,0.03373457554555665
cluster_7,-0.040495508804948684,0.3216218621173546,-0.24685706187881035,0.5253357364281854,0.08458725820280126,-0.23355484356988862,0.05915407596099754,0.45202577195447513,0.9999999998946131,0.28829286344796007,0.5352149248149238,0.07801067224729154,0.5134089266234989,-0.02301098837667119,-0.3394315489445408,0.3693677718242666,-0.386993815315442,0.6165087161912789,-0.3629511549197404,0.2772421222240593,-0.5270321510184864,0.2831111143999891
cluster_8,0.38965491604228203,0.7150987730770059,-0.7039738107849304,0.7304789312507965,-0.7550203909405031,-0.35697572005376066,0.5294172530761208,-0.002038008566771622,0.28829286344796007,0.9999999999822875,-0.3436655108195861,0.02089051321314297,0.41095271575784764,0.14009044198387838,0.19127010932895458,0.5538403710933498,-0.22823047871460947,0.6771240212394669,-0.7390178602091918,-0.1235853772181801,-0.13256271198898842,0.2821795536047672
