group_id,qc_label,conversation_id,active_days_14d,active_days_30d,retention_14d,mentee_n_edits,mentee_n_edits_7d,mentee_acct_age_hours,reply_words,reply_lag_hours,question,reply
1,qc_1,3792,14,16,1,8.0,3.0,1970.6,63.0,13.1,"Hello, can I ask you a question. How do I create a citation?","Hi AlfieRosa and thanks for your question. [HELP_PAGE] with instructions on how to add references and it includes citation templates. At the bottom of that help page, there are links to other help pages regarding citations/references, such as different citation styles, etc. The link on the right side is for a 6 minute video housed on Wikimedia Commons regarding how to create citations."
1,qc_1,30272,4,8,1,15.0,3.0,1894.0,15.0,68.0,"hello, how do I create a citation","Hi, welcome to Wikipedia, a great starting guide to referencing can be found here: [POLICY]"
1,qc_1,6350,0,0,0,1.0,1.0,2658.9,48.0,2.1,"Hello
How do i create a citation?","Hi there, . Depending on whether you've using our '[POLICY]' our our [POLICY], you will find guidance on adding citations (=references) at the following pages:
Visual Editor: [HELP_PAGE]
Source Editor: [POLICY]
Let me know if you have any specific problems after trying one of those two routes. Regards,"
1,qc_1,17637,0,0,0,11.0,6.0,3477.7,42.0,319.6,"Hello, how do I create a citation","Hi @, thank you for your contributions. There are three ways I know of.
#[WIKILINK] for my favorite and easiest way to cite.
#[POLICY] to do it in code.
#[POLICY] to make citations on [WIKILINK].
Thanks, ~ (He, him) • • •"
1,qc_1,32084,0,0,0,1.0,0.0,961.6,1.0,0.0,"Hello
How do I create a citation",[POLICY]
2,qc_1,3955,9,20,1,8.0,8.0,125.5,41.0,1.5,How do I create a citation?,"Hi MihaelaLovri and welcome to Wikipedia. [HELP_PAGE] is a help page page on how to create a citation. [POLICY] are some citation template options. [POLICY] is information about inline citations. And last but not least, [POLICY] is general information regarding sources."
2,qc_1,28932,8,9,1,3.0,3.0,154.2,109.0,29.1,How fo I create a citation,"Hello @, and welcome to Wikipedia! I see that you mostly use the [POLICY], and it’s a lot easier to create a citation with VisualEditor than the wikitext editor.
To create a citation, click the Cite button (the one that looks like quotation marks), then choose to
Automatically generate a citation using a URL, ISBN (or other identifier)
Manually fill out a citation template
Reuse a citation already in the article
I prefer manually filling out, but automatic citations are usually sufficient. Remember that everything in Wikipedia [POLICY] with [POLICY]. If you have more questions, don’t hesitate to ask me using your or at the [POLICY]. Happy editing! ~~"
2,qc_1,4205,0,0,0,4.0,4.0,36.3,44.0,3.1,How do I create a citation?,"Hi Albert Cuen and welcome to Wikipedia. To create citations, the simplest way is to use one of the following tools: [POLICY] or [POLICY]. I personally use the latter because the parameters of the citation can often be generated automatically from a url. Cheers,"
2,qc_1,30939,0,0,0,2.0,1.0,313.6,72.0,41.5,How do I create a citation?,"Hello @! There are 3 ways I know of.
# For an easy auto-generated way, see [POLICY]
# For a more difficult way you need to make, see [HELP_PAGE]
# For using trusty [WIKILINK], see [POLICY].
Thanks. ~ (He, him) • • •
Hello, @, and welcome! In addition to the helpful tools Rafael mentioned below, there are helpful referencing tutorials at [POLICY] (source editor) and [POLICY] (for the visual editor). Cheers,"
2,qc_1,18902,0,0,0,4.0,4.0,93.9,25.0,7.4,How do I create a citation?,"Hi @, welcome to Wikipedia! This page should help [HELP_PAGE], if you have any further questions please feel free to send me a message. Thanks,"
